Entry	Entry name	Gene names	EC number
Q63HR2	TNS2_HUMAN	TNS2 KIAA1075 TENC1	3.1.3.48
Q96K76	UBP47_HUMAN	USP47	3.4.19.12
Q3LFD5	UBP41_HUMAN	USP41	3.4.19.12
Q70EL2	UBP45_HUMAN	USP45	3.4.19.12
O75310	UDB11_HUMAN	UGT2B11	2.4.1.17
Q93008	USP9X_HUMAN	USP9X DFFRX FAM USP9	3.4.19.12
Q99986	VRK1_HUMAN	VRK1	2.7.11.1
P63119	VPK21_HUMAN	ERVK-21	3.4.23.50
O15498	YKT6_HUMAN	YKT6	2.3.1.-
P43403	ZAP70_HUMAN	ZAP70 SRK	2.7.10.2
Q16881	TRXR1_HUMAN	TXNRD1 GRIM12 KDRF	1.8.1.9
Q8N806	UBR7_HUMAN	UBR7 C14orf130	2.3.2.27
P15374	UCHL3_HUMAN	UCHL3	3.4.19.12
P40818	UBP8_HUMAN	USP8 KIAA0055 UBPY	3.4.19.12
Q9ULT6	ZNRF3_HUMAN	ZNRF3 KIAA1133 RNF203	2.3.2.27
O60701	UGDH_HUMAN	UGDH	1.1.1.22
Q9NYU2	UGGG1_HUMAN	UGGT1 GT UGCGL1 UGGT UGT1 UGTR	2.4.1.-
Q6IMI6	ST1C3_HUMAN	SULT1C3	2.8.2.1; 2.8.2.2
Q9NRP7	STK36_HUMAN	STK36 KIAA1278	2.7.11.1
O00507	USP9Y_HUMAN	USP9Y DFFRY	3.4.19.12
P63120	VPK19_HUMAN	ERVK-19	3.4.23.50
P47985	UCRI_HUMAN	UQCRFS1	7.1.1.8
P19224	UD16_HUMAN	UGT1A6 GNT1 UGT1	2.4.1.17
C9JVI0	U17LB_HUMAN	USP17L11	3.4.19.12
Q96C45	ULK4_HUMAN	ULK4	2.7.11.1
Q9H0M0	WWP1_HUMAN	WWP1	2.3.2.26
Q9C0B5	ZDHC5_HUMAN	ZDHHC5 KIAA1748 ZNF375	2.3.1.225
Q96MF7	NSE2_HUMAN	NSMCE2 C8orf36 MMS21	2.3.2.-
Q6DKJ4	NXN_HUMAN	NXN NRX	1.8.1.8
Q9H0J9	PAR12_HUMAN	PARP12 ZC3HDC1	2.4.2.-
P53609	PGTB1_HUMAN	PGGT1B	2.5.1.59
O00743	PPP6_HUMAN	PPP6C PPP6	3.1.3.16
Q6GMV3	PTRD1_HUMAN	PTRHD1 C2orf79	3.1.1.29
Q13464	ROCK1_HUMAN	ROCK1	2.7.11.1
Q9UBT2	SAE2_HUMAN	UBA2 SAE2 UBLE1B HRIHFB2115	2.3.2.-
Q5VXU9	SHOC1_HUMAN	SHOC1 C9orf84	3.6.-.-
Q9H008	LHPP_HUMAN	LHPP	3.1.3.-; 3.6.1.1
Q7L5Y9	MAEA_HUMAN	MAEA EMP HLC10 PIG5	2.3.2.27
P33908	MA1A1_HUMAN	MAN1A1	3.2.1.113
Q9UKM7	MA1B1_HUMAN	MAN1B1 UNQ747/PRO1477	3.2.1.113
Q96N66	MBOA7_HUMAN	MBOAT7 BB1 LENG4 OACT7	2.3.1.-
Q9BV79	MECR_HUMAN	MECR NBRF1 CGI-63	1.3.1.104
P53602	MVD1_HUMAN	MVD MPD	4.1.1.33
Q15746	MYLK_HUMAN	MYLK MLCK MLCK1 MYLK1	2.7.11.18
P29475	NOS1_HUMAN	NOS1	1.14.13.39
Q96HS1	PGAM5_HUMAN	PGAM5	3.1.3.16
O43164	PJA2_HUMAN	PJA2 KIAA0438 RNF131	2.3.2.27
O15355	PPM1G_HUMAN	PPM1G PPM1C	3.1.3.16
Q7Z6Z6	PLPL5_HUMAN	PNPLA5 GS2L	3.1.1.3
Q9Y3E5	PTH2_HUMAN	PTRH2 BIT1 PTH2 CGI-147	3.1.1.29
Q9H3S7	PTN23_HUMAN	PTPN23 KIAA1471	3.1.3.48
Q9H871	RMD5A_HUMAN	RMND5A	2.3.2.27
P10619	PPGB_HUMAN	CTSA PPGB	3.4.16.5
A6NEC2	PSAL_HUMAN	NPEPPSL1	3.4.11.-
Q8N819	PPM1N_HUMAN	PPM1N	3.1.3.16
Q12923	PTN13_HUMAN	PTPN13 PNP1 PTP1E PTPL1	3.1.3.48
Q7Z419	R144B_HUMAN	RNF144B IBRDC2 P53RFP	2.3.2.31
Q96NR8	RDH12_HUMAN	RDH12 SDR7C2	1.1.1.300
O14730	RIOK3_HUMAN	RIOK3 SUDD	2.7.11.1
Q96GF1	RN185_HUMAN	RNF185	2.3.2.27
Q86T96	RN180_HUMAN	RNF180	2.3.2.27
Q96K19	RN170_HUMAN	RNF170	2.3.2.27
Q8WVZ7	RN133_HUMAN	RNF133	2.3.2.27
Q969K3	RNF34_HUMAN	RNF34	2.3.2.27
O15270	SPTC2_HUMAN	SPTLC2 KIAA0526 LCB2	2.3.1.50
Q9Y6N5	SQOR_HUMAN	SQOR SQRDL CGI-44	1.8.5.8
Q9UHH9	IP6K2_HUMAN	IP6K2 IHPK2 TCCCIA00113	2.7.4.-
B2RXH2	KDM4E_HUMAN	KDM4E KDM4DL	1.14.11.66
Q9UKR3	KLK13_HUMAN	KLK13 KLKL4	3.4.21.-
Q08397	LOXL1_HUMAN	LOXL1 LOXL	1.4.3.-
O75817	POP7_HUMAN	POP7 RPP20	3.1.26.5
P31213	S5A2_HUMAN	SRD5A2	1.3.1.22
O75783	RHBL1_HUMAN	RHBDL1 RHBDL	3.4.21.105
Q7LG56	RIR2B_HUMAN	RRM2B P53R2	1.17.4.1
Q13546	RIPK1_HUMAN	RIPK1 RIP RIP1	2.7.11.1
Q5TA31	RN187_HUMAN	RNF187	2.3.2.27
P21673	SAT1_HUMAN	SAT1 SAT	2.3.1.57
Q96HI0	SENP5_HUMAN	SENP5 FKSG45	3.4.22.-
Q92185	SIA8A_HUMAN	ST8SIA1 SIAT8 SIAT8A	2.4.99.8
P49903	SPS1_HUMAN	SEPHS1 SELD SPS SPS1	2.7.9.3
Q7KZF4	SND1_HUMAN	SND1 TDRD11	3.1.31.1
Q96PZ0	PUS7_HUMAN	PUS7 KIAA1897	5.4.99.-
Q9NS39	RED2_HUMAN	ADARB2 ADAR3 RED2	3.5.-.-
Q6PCD5	RFWD3_HUMAN	RFWD3 RNF201	2.3.2.27
P20132	SDHL_HUMAN	SDS SDH	4.3.1.17; 4.3.1.19
P21912	SDHB_HUMAN	SDHB SDH SDH1	1.3.5.1
O00194	RB27B_HUMAN	RAB27B	3.6.5.2
Q9H477	RBSK_HUMAN	RBKS RBSK	2.7.1.15
P61224	RAP1B_HUMAN	RAP1B OK/SW-cl.11	3.6.5.2
Q92963	RIT1_HUMAN	RIT1 RIBB RIT ROC1	3.6.5.2
O94941	RNF37_HUMAN	UBOX5 KIAA0860 RNF37 UBCE7IP5 UIP5	2.3.2.27
Q9HB90	RRAGC_HUMAN	RRAGC	3.6.5.-
P18405	S5A1_HUMAN	SRD5A1	1.3.1.22
Q9Y2P4	S27A6_HUMAN	SLC27A6 ACSVL2 FACVL2 FATP6	6.2.1.15; 6.2.1.-
Q8TCT8	SPP2A_HUMAN	SPPL2A IMP3 PSL2 PSEC0147	3.4.23.-
Q5VWZ2	LYPL1_HUMAN	LYPLAL1	3.1.2.-
Q8TEA1	NSUN6_HUMAN	NSUN6 NOPD1	2.1.1.-
P62140	PP1B_HUMAN	PPP1CB	3.1.3.16; 3.1.3.53
P11233	RALA_HUMAN	RALA RAL	3.6.5.2
Q15493	RGN_HUMAN	RGN SMP30	3.1.1.17
Q9BVL4	SELO_HUMAN	SELENOO SELO	2.7.7.-; 2.7.7.n1
Q9NVD3	SETD4_HUMAN	SETD4 C21orf18 C21orf27	2.1.1.-
P35270	SPRE_HUMAN	SPR	1.1.1.153
Q9NUV7	SPTC3_HUMAN	SPTLC3 C20orf38 SPTLC2L	2.3.1.50
P52849	NDST2_HUMAN	NDST2 HSST2	2.8.2.8; 3.-.-.-; 2.8.2.-
Q96EH8	NEUL3_HUMAN	NEURL3 LINCR	2.3.2.27
Q96CB9	NSUN4_HUMAN	NSUN4	2.1.1.-
Q8N3J5	PPM1K_HUMAN	PPM1K PP2CM	3.1.3.16
O43447	PPIH_HUMAN	PPIH CYP20 CYPH	5.2.1.8
Q96BW5	PTER_HUMAN	PTER	3.1.-.-
Q8TE99	PXYP1_HUMAN	PXYLP1 ACPL2 HEL124 XYLP UNQ370/PRO706	3.1.3.-
Q9H0F5	RNF38_HUMAN	RNF38	2.3.2.27
O00442	RTCA_HUMAN	RTCA RPC RPC1 RTC1 RTCD1	6.5.1.4
Q96GA7	SDSL_HUMAN	SDSL	4.3.1.19; 4.3.1.17
Q9BR01	ST4A1_HUMAN	SULT4A1 SULTX3	2.8.2.-
Q06124	PTN11_HUMAN	PTPN11 PTP2C SHPTP2	3.1.3.48
Q9HB40	RISC_HUMAN	SCPEP1 RISC SCP1 MSTP034 UNQ265/PRO302	3.4.16.-
Q6NUM9	RETST_HUMAN	RETSAT PPSIG UNQ439/PRO872	1.3.99.23
P07949	RET_HUMAN	RET CDHF12 CDHR16 PTC RET51	2.7.10.1
P10301	RRAS_HUMAN	RRAS	3.6.5.-
P31040	SDHA_HUMAN	SDHA SDH2 SDHF	1.3.5.1
P0DMN0	ST1A4_HUMAN	SULT1A4	2.8.2.1
Q96JP5	ZFP91_HUMAN	ZFP91 ZNF757 FKSG11	2.3.2.27
Q6UX98	ZDH24_HUMAN	ZDHHC24 UNQ2528/PRO6027	2.3.1.225
Q70EL4	UBP43_HUMAN	USP43	3.4.19.12
O95045	UPP2_HUMAN	UPP2	2.4.2.3
Q70CQ2	UBP34_HUMAN	USP34 KIAA0570 KIAA0729	3.4.19.12
Q8IZN3	ZDH14_HUMAN	ZDHHC14	2.3.1.225
P78363	ABCA4_HUMAN	ABCA4 ABCR	7.6.2.1
Q3KRA9	ALKB6_HUMAN	ALKBH6 ABH6	1.14.11.-
O00116	ADAS_HUMAN	AGPS AAG5	2.5.1.26
Q9H9G7	AGO3_HUMAN	AGO3 EIF2C3	3.1.26.n2
Q6PL18	ATAD2_HUMAN	ATAD2 L16 PRO2000	3.6.1.-
P23634	AT2B4_HUMAN	ATP2B4 ATP2B2 MXRA1	7.2.2.10
Q9UQ10	DHDH_HUMAN	DHDH 2DD	1.3.1.20; 1.1.1.179
O75911	DHRS3_HUMAN	DHRS3 RDH17 SDR16C1 UNQ2424/PRO4983	1.1.1.300
Q96LJ7	DHRS1_HUMAN	DHRS1 SDR19C1	1.1.-.-
A6NNS2	DRS7C_HUMAN	DHRS7C SDR32C2	1.1.-.-
Q15910	EZH2_HUMAN	EZH2 KMT6	2.1.1.356
Q08623	HDHD1_HUMAN	PUDP DXF68S1E FAM16AX GS1 HDHD1 HDHD1A	3.1.3.96
Q8NG08	HELB_HUMAN	HELB	3.6.4.12
Q7LGA3	HS2ST_HUMAN	HS2ST1 HS2ST KIAA0448	2.8.2.-
Q2VIR3	IF2GL_HUMAN	EIF2S3B	3.6.5.3
P08069	IGF1R_HUMAN	IGF1R	2.7.10.1
Q8NHS2	AATC2_HUMAN	GOT1L1	2.6.1.1
Q15067	ACOX1_HUMAN	ACOX1 ACOX	1.3.3.6
Q7Z5M8	AB12B_HUMAN	ABHD12B C14orf29	3.-.-.-
Q8N9L9	ACOT4_HUMAN	ACOT4 PTE2B PTEIB	3.1.2.3; 3.1.2.2
P49748	ACADV_HUMAN	ACADVL VLCAD	1.3.8.9
Q9GZX7	AICDA_HUMAN	AICDA AID	3.5.4.38
Q16853	AOC3_HUMAN	AOC3 VAP1	1.4.3.21
P50993	AT1A2_HUMAN	ATP1A2 KIAA0778	7.2.2.13
Q13315	ATM_HUMAN	ATM	2.7.11.1
Q00973	B4GN1_HUMAN	B4GALNT1 GALGT SIAT2	2.4.1.92
Q9C0J1	B3GN4_HUMAN	B3GNT4 UNQ1898/PRO4344	2.4.1.149
Q96L58	B3GT6_HUMAN	B3GALT6	2.4.1.134
Q8N4T8	CBR4_HUMAN	CBR4 SDR45C1	1.-.-.-; 1.1.1.-
P07858	CATB_HUMAN	CTSB CPSB	3.4.22.1
P23280	CAH6_HUMAN	CA6	4.2.1.1
Q5EBM0	CMPK2_HUMAN	CMPK2	2.7.4.14; 2.7.4.6
Q9NPC3	CIP1_HUMAN	CCNB1IP1 C14orf18 HEI10	2.3.2.27
Q96C86	DCPS_HUMAN	DCPS DCS1 HINT5 HSPC015	3.6.1.59
Q96HY7	DHTK1_HUMAN	DHTKD1 KIAA1630	1.2.4.2
Q9UBC3	DNM3B_HUMAN	DNMT3B	2.1.1.37
Q9BPW9	DHRS9_HUMAN	DHRS9 RDH15 SDR9C4 UNQ835/PRO1773	1.1.1.209; 1.1.1.53; 1.1.1.105
A0PJE2	DHR12_HUMAN	DHRS12 SDR40C1	1.1.-.-
Q9NZJ5	E2AK3_HUMAN	EIF2AK3 PEK PERK	2.7.11.1
Q68CK6	ACS2B_HUMAN	ACSM2B ACSM2 HYST1046	6.2.1.2; 6.2.1.25
P55263	ADK_HUMAN	ADK	2.7.1.20
Q14839	CHD4_HUMAN	CHD4	3.6.4.12
P06276	CHLE_HUMAN	BCHE CHE1	3.1.1.8
Q8IZL9	CDK20_HUMAN	CDK20 CCRK CDCH	2.7.11.22
P28329	CLAT_HUMAN	CHAT	2.3.1.6
Q92772	CDKL2_HUMAN	CDKL2	2.7.11.22
P50613	CDK7_HUMAN	CDK7 CAK CAK1 CDKN7 MO15 STK1	2.7.11.22; 2.7.11.23
P00403	COX2_HUMAN	MT-CO2 COII COX2 COXII MTCO2	7.1.1.9
O14936	CSKP_HUMAN	CASK LIN2	2.7.11.1
Q9UJA2	CRLS1_HUMAN	CRLS1 C20orf155 CLS1	2.7.8.41
Q8N465	D2HDH_HUMAN	D2HGDH D2HGD	1.1.99.-
P56937	DHB7_HUMAN	HSD17B7 17HSD7 SDR37C1 UNQ2563/PRO6243	1.1.1.270; 1.1.1.210; 1.1.1.62
P18858	DNLI1_HUMAN	LIG1	6.5.1.1
P42892	ECE1_HUMAN	ECE1	3.4.24.71
Q9NY33	DPP3_HUMAN	DPP3	3.4.14.4
P09884	DPOLA_HUMAN	POLA1 POLA	2.7.7.7
Q9BZG8	DPH1_HUMAN	DPH1 DPH2L DPH2L1 OVCA1	2.5.1.108
Q12882	DPYD_HUMAN	DPYD	1.3.1.2
Q9H2P9	DPH5_HUMAN	DPH5 AD-018 CGI-30 HSPC143 NPD015	2.1.1.314
Q99502	EYA1_HUMAN	EYA1	3.1.3.16; 3.1.3.48
P00488	F13A_HUMAN	F13A1 F13A	2.3.2.13
P32298	GRK4_HUMAN	GRK4 GPRK2L GPRK4	2.7.11.16
P35575	G6PC_HUMAN	G6PC G6PT	3.1.3.9
Q11128	FUT5_HUMAN	FUT5	2.4.1.152; 2.4.1.65
Q96PP9	GBP4_HUMAN	GBP4	3.6.5.-
P50440	GATM_HUMAN	GATM AGAT	2.1.4.1
Q92820	GGH_HUMAN	GGH	3.4.19.9
Q9NWT6	HIF1N_HUMAN	HIF1AN FIH1	1.14.11.30; 1.14.11.n4
P52789	HXK2_HUMAN	HK2	2.7.1.1
Q14527	HLTF_HUMAN	HLTF HIP116A RNF80 SMARCA3 SNF2L3 ZBU1	2.3.2.27; 3.6.4.-
O15111	IKKA_HUMAN	CHUK IKKA TCF16	2.7.11.10
Q9NPH3	IL1AP_HUMAN	IL1RAP C3orf13 IL1R3	3.2.2.6
Q13418	ILK_HUMAN	ILK ILK1 ILK2	2.7.11.1
P22304	IDS_HUMAN	IDS SIDS	3.1.6.13
Q9Y672	ALG6_HUMAN	ALG6 My046	2.4.1.267
Q04656	ATP7A_HUMAN	ATP7A MC1 MNK	7.2.2.8
Q99518	FMO2_HUMAN	FMO2	1.14.13.8
Q14376	GALE_HUMAN	GALE	5.1.3.2; 5.1.3.7
Q7Z7M9	GALT5_HUMAN	GALNT5	2.4.1.41
Q17RS7	GEN_HUMAN	GEN1	3.1.-.-
P30793	GCH1_HUMAN	GCH1 DYT5 GCH	3.5.4.16
Q6IS24	GLT17_HUMAN	GALNT17 WBSCR17	2.4.1.41
O95714	HERC2_HUMAN	HERC2	2.3.2.26
O60760	HPGDS_HUMAN	HPGDS GSTS PGDS PTGDS2	5.3.99.2; 2.5.1.18
Q08881	ITK_HUMAN	ITK EMT LYK	2.7.10.2
P34913	HYES_HUMAN	EPHX2	3.3.2.10; 3.1.3.76
O95256	I18RA_HUMAN	IL18RAP IL1R7	3.2.2.6
P31941	ABC3A_HUMAN	APOBEC3A	3.5.4.38
Q96L96	ALPK3_HUMAN	ALPK3 KIAA1330 MAK	2.7.11.1
O60488	ACSL4_HUMAN	ACSL4 ACS4 FACL4 LACS4	6.2.1.3; 6.2.1.15
Q9Y673	ALG5_HUMAN	ALG5 HSPC149	2.4.1.117
Q9NUB1	ACS2L_HUMAN	ACSS1 ACAS2L KIAA1846	6.2.1.1; 6.2.1.17
Q92771	DDX12_HUMAN	DDX12P CHLR2 DDX12	3.6.4.13
Q05329	DCE2_HUMAN	GAD2 GAD65	4.1.1.15
O75912	DGKI_HUMAN	DGKI	2.7.1.107
Q7L8W6	DPH6_HUMAN	DPH6 ATPBD4	6.3.1.14
Q9Y5L3	ENTP2_HUMAN	ENTPD2 CD39L1	3.6.1.-
Q9HCQ5	GALT9_HUMAN	GALNT9	2.4.1.41
Q8TET4	GANC_HUMAN	GANC	3.2.1.20
P36269	GGT5_HUMAN	GGT5 GGTLA1	3.4.19.13; 2.3.2.2; 3.4.19.14
Q9H1C3	GL8D2_HUMAN	GLT8D2 GALA4A UNQ1901/PRO4347	2.4.1.-
P08263	GSTA1_HUMAN	GSTA1	2.5.1.18; 1.11.1.-; 5.3.3.-
Q15034	HERC3_HUMAN	HERC3 KIAA0032	2.3.2.26
Q9NQE9	HINT3_HUMAN	HINT3	3.-.-.-
P22557	HEM0_HUMAN	ALAS2 ALASE ASB	2.3.1.37
P00505	AATM_HUMAN	GOT2	2.6.1.1; 2.6.1.7
Q8IZY2	ABCA7_HUMAN	ABCA7	7.6.2.1
Q9H0P0	5NT3A_HUMAN	NT5C3A NT5C3 P5N1 UMPH1 HSPC233	3.1.3.5; 3.1.3.91
Q08462	ADCY2_HUMAN	ADCY2 KIAA1060	4.6.1.1
Q9UHK6	AMACR_HUMAN	AMACR	5.1.99.4
Q9H4A4	AMPB_HUMAN	RNPEP APB	3.4.11.6
Q96K12	FACR2_HUMAN	FAR2 MLSTD1	1.2.1.84
Q6UWV6	ENPP7_HUMAN	ENPP7 UNQ3077/PRO9912	3.1.4.12
Q5VWC8	HACD4_HUMAN	HACD4 PTPLAD2	4.2.1.134
Q9P2P5	HECW2_HUMAN	HECW2 KIAA1301 NEDL2	2.3.2.26
Q96QI5	HS3S6_HUMAN	HS3ST6 HS3ST5	2.8.2.23
Q9Y278	HS3S2_HUMAN	HS3ST2 3OST2 UNQ2442/PRO5004	2.8.2.29
P20839	IMDH1_HUMAN	IMPDH1 IMPD1	1.1.1.205
Q9H324	ATS10_HUMAN	ADAMTS10	3.4.24.-
Q5U5Z8	CBPC2_HUMAN	AGBL2 CCP2	3.4.17.-
P42575	CASP2_HUMAN	CASP2 ICH1 NEDD2	3.4.22.55
O14757	CHK1_HUMAN	CHEK1 CHK1	2.7.11.1
P05108	CP11A_HUMAN	CYP11A1 CYP11A	1.14.15.6
Q8NEL9	DDHD1_HUMAN	DDHD1 KIAA1705	3.1.1.-
Q8N568	DCLK2_HUMAN	DCLK2 DCAMKL2 DCDC3B DCK2	2.7.11.1
Q8IY21	DDX60_HUMAN	DDX60	3.6.4.13
O95786	DDX58_HUMAN	DDX58	3.6.4.13
Q6IED9	DG2L7_HUMAN	DGAT2L7P	2.3.1.-
Q9NRD9	DUOX1_HUMAN	DUOX1 DUOX LNOX1 THOX1	1.11.1.-; 1.6.3.1
Q9Y6W6	DUS10_HUMAN	DUSP10 MKP5	3.1.3.16; 3.1.3.48
Q86UL3	GPAT4_HUMAN	GPAT4 AGPAT6 TSARG7 UNQ551/PRO1108	2.3.1.15
P49841	GSK3B_HUMAN	GSK3B	2.7.11.26; 2.7.11.1
P86397	HTD2_HUMAN	HTD2	4.2.1.-
O60218	AK1BA_HUMAN	AKR1B10 AKR1B11	1.1.1.300; 1.1.1.54
O75891	AL1L1_HUMAN	ALDH1L1 FTHFD	1.5.1.6
Q96HD9	ACY3_HUMAN	ACY3 ASPA2	3.5.1.114
Q96IZ2	ADTRP_HUMAN	ADTRP C6orf105	3.1.-.-
P03950	ANGI_HUMAN	ANG RNASE5	3.1.27.-
O14744	ANM5_HUMAN	PRMT5 HRMT1L5 IBP72 JBP1 SKB1	2.1.1.320
P0DUB6	AMY1A_HUMAN	AMY1A AMY1	3.2.1.1
P00742	FA10_HUMAN	F10	3.4.21.6
P54756	EPHA5_HUMAN	EPHA5 BSK EHK1 HEK7 TYRO4	2.7.10.1
Q14410	GLPK2_HUMAN	GK2 GKP2 GKTA	2.7.1.30
P05091	ALDH2_HUMAN	ALDH2 ALDM	1.2.1.3
P14550	AK1A1_HUMAN	AKR1A1 ALDR1 ALR	1.1.1.2; 1.1.1.372; 1.1.1.54; 1.1.1.19; 1.1.1.20
Q7Z6V5	ADAT2_HUMAN	ADAT2 DEADC1	3.5.4.33
Q8TBG4	AT2L1_HUMAN	ETNPPL AGXT2L1	4.2.3.2
Q16760	DGKD_HUMAN	DGKD KIAA0145	2.7.1.107
O00115	DNS2A_HUMAN	DNASE2 DNASE2A DNL2	3.1.22.1
P49619	DGKG_HUMAN	DGKG DAGK3	2.7.1.107
Q9UPY3	DICER_HUMAN	DICER1 DICER HERNA KIAA0928	3.1.26.3
Q9UHL4	DPP2_HUMAN	DPP7 DPP2 QPP	3.4.14.2
O60762	DPM1_HUMAN	DPM1	2.4.1.83
P13929	ENOB_HUMAN	ENO3	4.2.1.11
Q86XS8	GOLI_HUMAN	RNF130	2.3.2.27
P78417	GSTO1_HUMAN	GSTO1 GSTTLP28	2.5.1.18; 1.8.5.1; 1.20.4.2
P00390	GSHR_HUMAN	GSR GLUR GRD1	1.8.1.7
P48637	GSHB_HUMAN	GSS	6.3.2.3
Q9UKV0	HDAC9_HUMAN	HDAC9 HDAC7 HDAC7B HDRP KIAA0744 MITR	3.5.1.98
O14929	HAT1_HUMAN	HAT1 KAT1	2.3.1.48
Q9UJ83	HACL1_HUMAN	HACL1 HPCL HPCL2 PHYH2 HSPC279	4.1.2.n2
P05981	HEPS_HUMAN	HPN TMPRSS1	3.4.21.106
Q9BYX4	IFIH1_HUMAN	IFIH1 MDA5 RH116	3.6.4.13
O60337	MARH6_HUMAN	MARCHF6 KIAA0597 MARCH6 RNF176 TEB4	2.3.2.27
Q969Z3	MARC2_HUMAN	MTARC2 MARC2 MOSC2	1.7.-.-
Q9Y2E5	MA2B2_HUMAN	MAN2B2 KIAA0935	3.2.1.24
Q86YT6	MIB1_HUMAN	MIB1 DIP1 KIAA1323 ZZANK2	2.3.2.27
Q8IXI2	MIRO1_HUMAN	RHOT1 ARHT1	3.6.5.-
P30305	MPIP2_HUMAN	CDC25B CDC25HU2	3.1.3.48
Q5VVJ2	MYSM1_HUMAN	MYSM1 KIAA1915	3.4.19.-
P14920	OXDA_HUMAN	DAO DAMOX	1.4.3.3
O00443	P3C2A_HUMAN	PIK3C2A	2.7.1.154
Q99489	OXDD_HUMAN	DDO	1.4.3.1
Q6P474	PDXD2_HUMAN	PDXDC2P PDXDC2	4.1.1.-
Q15118	PDK1_HUMAN	PDK1 PDHK1	2.7.11.2
O14832	PAHX_HUMAN	PHYH PAHX	1.14.11.18
Q7L5N7	PCAT2_HUMAN	LPCAT2 AGPAT11 AYTL1	2.3.1.23; 2.3.1.51; 2.3.1.25; 2.3.1.67
Q9NRJ5	PAPOB_HUMAN	PAPOLB PAPT	2.7.7.19
Q07343	PDE4B_HUMAN	PDE4B DPDE4	3.1.4.53
Q9UKK3	PARP4_HUMAN	PARP4 ADPRTL1 KIAA0177 PARPL	2.4.2.-
Q68DD2	PA24F_HUMAN	PLA2G4F	3.1.1.4
Q9NVE7	PANK4_HUMAN	PANK4	3.1.3.-
P09237	MMP7_HUMAN	MMP7 MPSL1 PUMP1	3.4.24.23
P08254	MMP3_HUMAN	MMP3 STMY1	3.4.24.17
O94851	MICA2_HUMAN	MICAL2 KIAA0750 MICAL2PV1 MICAL2PV2	1.14.13.225
Q8N3J2	METL4_HUMAN	METTL4	2.1.1.72; 2.1.1.-
Q6UX53	MET7B_HUMAN	METTL7B UNQ594/PRO1180	2.1.1.-
P30304	MPIP1_HUMAN	CDC25A	3.1.3.48
Q8WXR4	MYO3B_HUMAN	MYO3B	2.7.11.1
O60502	OGA_HUMAN	OGA HEXC KIAA0679 MEA5 MGEA5	3.2.1.169
P32322	P5CR1_HUMAN	PYCR1	1.5.1.2
Q9P1W9	PIM2_HUMAN	PIM2	2.7.11.1
Q86V86	PIM3_HUMAN	PIM3	2.7.11.1
O60331	PI51C_HUMAN	PIP5K1C KIAA0589	2.7.1.68
Q8N2W9	PIAS4_HUMAN	PIAS4 PIASG	2.3.2.27
P0DJD7	PEPA4_HUMAN	PGA4	3.4.23.1
Q99943	PLCA_HUMAN	AGPAT1 G15	2.3.1.51
Q08752	PPID_HUMAN	PPID CYP40 CYPD	5.2.1.8
Q92871	PMM1_HUMAN	PMM1 PMMH22	5.4.2.8
Q8WZA1	PMGT1_HUMAN	POMGNT1 MGAT1.2 UNQ746/PRO1475	2.4.1.-
P13196	HEM1_HUMAN	ALAS1 ALAS3 ALASH OK/SW-cl.121	2.3.1.37
Q8TB92	HMGC2_HUMAN	HMGCLL1	4.1.3.4
Q9Y663	HS3SA_HUMAN	HS3ST3A1 3OST3A1 HS3ST3A UNQ2551/PRO6180	2.8.2.30
Q9P0J7	KCMF1_HUMAN	KCMF1 FIGC ZZZ1	2.3.2.27
Q15418	KS6A1_HUMAN	RPS6KA1 MAPKAPK1A RSK1	2.7.11.1
O95237	LRAT_HUMAN	LRAT	2.3.1.135
P29376	LTK_HUMAN	LTK TYK1	2.7.10.1
P25205	MCM3_HUMAN	MCM3	3.6.4.12
Q9BUB5	MKNK1_HUMAN	MKNK1 MNK1	2.7.11.1
P12694	ODBA_HUMAN	BCKDHA	1.2.4.4
Q16822	PCKGM_HUMAN	PCK2 PEPCK2	4.1.1.32
Q8N5Y8	PAR16_HUMAN	PARP16 ARTD15 C15orf30	2.4.2.-
Q01581	HMCS1_HUMAN	HMGCS1 HMGCS	2.3.3.10
P51617	IRAK1_HUMAN	IRAK1 IRAK	2.7.11.1
Q9H2R5	KLK15_HUMAN	KLK15	3.4.21.-
Q8IV20	LACC1_HUMAN	LACC1 C13orf31 FAMIN	2.4.2.1; 3.5.4.4; 2.4.2.28
Q9BYZ2	LDH6B_HUMAN	LDHAL6B LDHAL6 LDHL	1.1.1.27
O95382	M3K6_HUMAN	MAP3K6 ASK2 MAPKKK6 MEKK6	2.7.11.25
P33993	MCM7_HUMAN	MCM7 CDC47 MCM2	3.6.4.12
Q13163	MP2K5_HUMAN	MAP2K5 MEK5 MKK5 PRKMK5	2.7.12.2
Q13508	NAR3_HUMAN	ART3 TMART	2.4.2.31
Q8IW45	NNRD_HUMAN	NAXD CARKD	4.2.1.93
Q9Y2G5	OFUT2_HUMAN	POFUT2 C21orf80 FUT13 KIAA0958	2.4.1.221
Q01804	OTUD4_HUMAN	OTUD4 HIN-1 KIAA1046	3.4.19.12
Q9H5J4	ELOV6_HUMAN	ELOVL6 FACE LCE	2.3.1.199
Q9Y227	ENTP4_HUMAN	ENTPD4 KIAA0392 LALP70 LYSAL1	3.6.1.6
Q6P587	FAHD1_HUMAN	FAHD1 C16orf36 YISKL	3.7.1.5; 4.1.1.112
Q8IXL6	FA20C_HUMAN	FAM20C DMP4	2.7.11.1
